-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/23/2023 in LST
Location: latitude  32.49   longitude 3.67 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 522.19 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,WS10M
2023,4,29,7.7933,29.28,16.53,5.31
2023,4,30,7.5754,27.91,29.75,6.24
2023,5,1,5.5642,24.82,37.33,4.3
2023,5,2,8.2164,23.5,27.59,3.1
2023,5,3,7.7758,24.41,26.63,3.37
2023,5,4,7.1467,24.57,30.99,4.54
2023,5,5,7.2331,26.65,37.48,5.27
2023,5,6,5.885,28.76,23.01,5.83
2023,5,7,5.3184,27.16,30.83,5.33
2023,5,8,7.9332,23.64,33.57,8.48
2023,5,9,8.2207,23.08,30.49,3.42
2023,5,10,8.1444,25.32,24.89,2.57
2023,5,11,7.8648,27.61,20.3,3.53
2023,5,12,7.0625,29.29,17.08,3.68
2023,5,13,6.5218,27.65,24.89,4.94
2023,5,14,6.654,19.79,41.94,9.12
2023,5,15,8.376,19.9,31.58,4.95
2023,5,16,8.4468,22.55,23.43,4.35
2023,5,17,3.3917,24.57,24.24,5.06
2023,5,18,7.9337,23.56,38.2,4.91
2023,5,19,5.0897,19.15,47.67,7.97
2023,5,20,8.3513,18.82,41.77,5.47
2023,5,21,7.9502,21.42,36.05,4.09
2023,5,22,7.4777,23.87,22.78,6.81
2023,5,23,7.5346,23.08,31.65,5.8
2023,5,24,7.7304,23.53,37.84,4.78
2023,5,25,8.3354,24.13,33.25,3.82
2023,5,26,7.8518,23.97,35.31,5.02
2023,5,27,6.6478,25.22,30.92,5.82
2023,5,28,7.9382,26.6,24.56,6.18
2023,5,29,6.6835,24.6,37.09,6.52
2023,5,30,6.2117,23.69,35.94,5.87
2023,5,31,8.2483,22.9,37.84,4.03
2023,6,1,7.9392,23.92,37.49,2.52
2023,6,2,6.7901,25.44,30.48,5.08
2023,6,3,7.1165,25.79,38.02,8.38
2023,6,4,6.9919,25.7,40.73,6.73
2023,6,5,7.2029,25.69,42.17,4.52
2023,6,6,6.8357,25.97,38.24,3.08
2023,6,7,7.1741,27.83,34.11,4.38
2023,6,8,7.632,30.55,23.74,5.53
2023,6,9,6.5426,32.34,22.71,5.8
2023,6,10,7.9879,31.78,30.99,5.99
2023,6,11,7.8898,29.49,30.38,5.32
2023,6,12,7.458,31.47,29.48,5.28
2023,6,13,7.1191,31.81,21.93,3.33
2023,6,14,8.1214,30.64,27.59,6.26
2023,6,15,8.6746,27.37,31.85,4.7
2023,6,16,8.4118,29.16,30.75,3.24
2023,6,17,8.3038,31.56,22.9,4.79
2023,6,18,8.1814,33.45,17.91,6.11
2023,6,19,7.6248,33.82,12.9,6.53
2023,6,20,8.3784,33.34,10.39,6.55
2023,6,21,8.0117,32.9,11.06,5.1
2023,6,22,8.3287,32.34,14.13,5.35
2023,6,23,8.2865,31.85,17.13,5.12
2023,6,24,8.3328,32.63,18.02,3.43
2023,6,25,8.484,33.72,16.19,3.13
2023,6,26,8.3278,33.08,21.7,3.84
2023,6,27,8.2025,32.33,23.26,4.27
2023,6,28,8.214,33.26,20.77,3.73
2023,6,29,7.9046,34.77,17.78,5.27
2023,6,30,7.0932,34.9,22.34,3.94
2023,7,1,7.1813,34.83,20.15,5.85
2023,7,2,6.6437,33.5,26.44,3.66
2023,7,3,5.8394,35.31,22.19,2.9
2023,7,4,7.9198,35.73,19.83,3.76
2023,7,5,7.7282,35.68,18.89,4.49
2023,7,6,8.011,36.66,13.83,5.81
2023,7,7,7.8478,37.39,12.81,7.25
2023,7,8,7.7995,36.76,15.42,5.21
2023,7,9,7.9128,36.7,13.59,4.46
2023,7,10,7.74,37.41,13.94,3.24
2023,7,11,7.2761,37.51,14.87,2.38
2023,7,12,7.6649,37.99,13.59,2.57
2023,7,13,8.0198,37.01,16.1,3.16
2023,7,14,8.082,35.13,13.89,3.47
2023,7,15,8.1206,33.93,10.05,3.68
2023,7,16,8.4422,32.98,9.67,4.94
2023,7,17,8.0515,33.72,10.98,4.16
2023,7,18,8.2147,35.85,11.11,3.82
2023,7,19,8.0563,36.45,13.13,3.19
2023,7,20,8.0426,37.32,11.96,2.63
2023,7,21,7.9457,37.01,11.75,4.33
2023,7,22,8.2092,36.38,11.51,5.38
2023,7,23,8.2925,35.29,10.38,4.27
2023,7,24,8.1295,36.02,9.59,5.02
2023,7,25,7.9315,36.78,7.69,4.98
2023,7,26,8.0081,36.21,14.13,3.71
2023,7,27,7.6766,35.64,17.4,4.85
2023,7,28,8.1626,37.24,11.08,4.72
2023,7,29,7.939,38.57,8.57,5.5
2023,7,30,7.6627,39.37,8.68,4.62
2023,7,31,6.5045,38.25,21.92,4.55
2023,8,1,8.0309,36.23,15.97,4.24
2023,8,2,8.2006,35.07,19.1,3.12
2023,8,3,7.961,36.25,18.68,2.23
2023,8,4,7.8806,37.06,15.18,4.69
2023,8,5,7.7702,30.47,29.16,5.96
2023,8,6,7.9183,31.5,17.39,3.07
2023,8,7,7.8775,32.58,21.27,3.06
2023,8,8,7.8516,33.99,21.21,3.47
2023,8,9,7.6406,35.63,19.02,3.59
2023,8,10,7.6135,33.38,21.31,6.75
2023,8,11,7.5864,34.05,18.67,2.41
2023,8,12,7.8636,34.24,16.23,3.42
2023,8,13,7.6471,32.91,22.24,3.46
2023,8,14,7.711,32.88,23.62,3.93
2023,8,15,7.5696,33.21,23.24,3.22
2023,8,16,7.3783,34.19,22.14,3.44
2023,8,17,7.1054,35.0,19.72,2.09
2023,8,18,7.3354,35.71,20.63,2.28
2023,8,19,7.1902,36.15,16.89,2.62
2023,8,20,7.3606,33.97,18.48,4.87
2023,8,21,7.2509,32.77,20.09,4.23
2023,8,22,7.0181,31.24,27.47,4.15
2023,8,23,6.8683,30.62,29.86,3.41
2023,8,24,7.1858,31.92,22.28,3.01
2023,8,25,7.1573,32.87,22.74,3.9
2023,8,26,7.1062,32.93,22.45,3.64
2023,8,27,7.0634,33.54,15.41,5.81
2023,8,28,7.2706,29.07,23.93,5.49
2023,8,29,6.8076,28.76,22.17,3.43
2023,8,30,6.2707,31.4,20.94,4.78
2023,8,31,6.611,30.1,28.82,5.53
2023,9,1,6.6845,29.56,39.01,5.11
2023,9,2,5.4386,30.99,32.23,6.32
2023,9,3,5.4103,33.5,21.65,6.1
2023,9,4,6.3607,33.02,25.46,3.03
2023,9,5,6.4908,34.9,17.37,3.54
2023,9,6,6.5018,30.24,30.62,5.39
2023,9,7,6.4157,30.13,27.94,3.08
2023,9,8,6.7529,30.68,25.61,2.53
2023,9,9,6.6137,31.33,26.35,2.83
2023,9,10,6.2215,32.22,23.54,2.5
2023,9,11,3.8059,32.89,21.44,3.2
2023,9,12,5.4065,33.34,20.71,2.75
2023,9,13,3.4133,31.74,22.77,3.25
2023,9,14,4.2389,29.64,24.37,2.24
2023,9,15,5.3066,29.84,32.38,3.73
2023,9,16,6.1918,31.76,22.21,4.95
2023,9,17,6.131,30.96,16.71,5.09
2023,9,18,5.9863,29.55,18.8,3.77
2023,9,19,5.412,28.94,16.65,3.92
2023,9,20,4.6044,28.72,20.78,3.75
2023,9,21,6.0468,30.98,22.0,3.81
2023,9,22,6.2306,30.06,23.86,3.61
2023,9,23,6.0809,28.35,38.96,5.01
2023,9,24,5.8442,26.49,36.57,5.23
2023,9,25,5.9515,28.14,34.12,3.47
2023,9,26,6.1138,26.02,34.61,5.07
2023,9,27,6.1162,23.71,36.82,3.75
2023,9,28,6.0708,23.71,37.01,3.12
2023,9,29,6.0221,24.29,38.3,3.15
2023,9,30,5.9657,24.99,31.14,3.33
2023,10,1,5.869,24.44,36.61,4.11
2023,10,2,5.676,24.54,40.76,2.89
2023,10,3,5.622,23.93,45.19,3.65
2023,10,4,5.7247,23.18,39.91,4.5
2023,10,5,5.711,22.24,35.71,4.41
2023,10,6,5.7624,23.07,30.84,3.36
2023,10,7,5.6405,23.97,30.04,2.25
2023,10,8,5.4905,23.53,30.81,2.47
2023,10,9,5.215,22.46,43.92,3.55
2023,10,10,5.3472,22.16,44.48,3.4
2023,10,11,5.3796,21.46,41.97,3.7
2023,10,12,5.4607,21.7,36.34,4.64
2023,10,13,5.4079,21.91,35.4,4.08
2023,10,14,5.31,22.46,27.75,2.64
2023,10,15,4.9697,23.15,21.66,2.02
2023,10,16,5.2397,23.4,23.06,2.89
2023,10,17,5.1228,24.8,28.76,3.81
2023,10,18,4.8497,25.8,28.03,2.35
2023,10,19,4.7707,26.38,23.77,6.18
2023,10,20,3.5786,23.83,30.61,6.47
2023,10,21,4.8581,18.76,38.49,3.33
2023,10,22,4.865,22.33,30.26,5.84
2023,10,23,4.361,25.36,32.19,5.18
2023,10,24,2.6388,25.16,36.82,3.92
2023,10,25,5.1101,23.25,33.38,4.46
2023,10,26,5.0921,21.98,38.86,4.5
2023,10,27,5.0042,22.78,30.42,3.47
2023,10,28,3.605,23.6,28.93,3.26
2023,10,29,2.669,23.81,25.1,3.97
2023,10,30,3.6415,25.06,24.87,6.72
2023,10,31,4.2149,23.42,37.14,3.61
2023,11,1,4.0906,24.15,28.46,4.69
2023,11,2,4.5991,23.89,33.6,4.9
2023,11,3,4.2034,22.9,36.39,5.21
2023,11,4,4.6687,18.45,47.65,3.53
2023,11,5,4.4177,21.69,31.91,3.6
2023,11,6,4.3951,22.56,25.15,3.68
2023,11,7,3.1058,19.7,42.78,5.7
2023,11,8,3.9341,17.19,55.5,7.99
2023,11,9,3.431,16.73,65.57,5.48
2023,11,10,3.0662,17.02,52.17,4.22
2023,11,11,4.3826,18.09,49.77,3.48
2023,11,12,4.5017,18.86,45.93,3.11
2023,11,13,4.4446,18.14,43.84,2.61
2023,11,14,4.3334,18.38,41.98,1.53
2023,11,15,4.2785,18.54,30.4,2.43
2023,11,16,4.2065,18.38,31.19,2.35
2023,11,17,4.1491,17.82,33.65,2.8
2023,11,18,4.2046,17.59,39.45,3.72
2023,11,19,3.9864,16.11,48.12,3.09
2023,11,20,4.0154,16.33,45.8,2.6
2023,11,21,4.0867,17.26,39.73,5.58
2023,11,22,4.068,13.33,56.46,6.37
2023,11,23,3.7831,12.06,64.34,8.89
2023,11,24,3.8136,12.72,50.53,7.76
2023,11,25,4.1299,12.92,38.19,3.12
2023,11,26,3.5314,13.82,38.07,2.95
2023,11,27,3.9523,13.01,29.11,4.11
2023,11,28,3.6744,14.79,39.03,4.07
2023,11,29,3.6742,16.44,51.67,3.55
2023,11,30,3.7733,15.56,40.24,4.45
2023,12,1,3.1939,14.88,21.46,6.25
2023,12,2,3.4051,14.37,36.95,4.67
2023,12,3,3.9691,10.7,52.54,4.86
2023,12,4,3.558,11.14,53.63,2.91
2023,12,5,2.598,12.02,42.24,3.32
2023,12,6,3.1366,14.33,44.97,4.23
2023,12,7,3.5515,12.4,65.36,2.66
2023,12,8,3.1918,15.23,56.97,6.34
2023,12,9,3.804,11.76,53.89,6.14
2023,12,10,3.7339,11.6,50.4,2.69
2023,12,11,3.4584,14.8,42.89,5.26
2023,12,12,3.4598,17.62,31.4,5.29
2023,12,13,3.4519,16.62,25.63,5.49
2023,12,14,3.4152,12.96,52.27,6.7
2023,12,15,3.7536,9.97,56.13,5.82
2023,12,16,3.3828,9.28,65.88,6.28
2023,12,17,2.9254,7.32,71.82,5.62
2023,12,18,1.7465,7.57,74.25,3.79
2023,12,19,2.5586,9.34,71.52,5.86
2023,12,20,3.7656,10.2,53.65,4.5
2023,12,21,3.6434,9.17,65.37,4.17
2023,12,22,3.7366,10.02,55.02,3.35
2023,12,23,3.7469,11.44,40.91,2.55
